iter	Passed	Remaining
878	12534	1725
879	12546	1710
880	12559	1696
881	12571	1681
882	12585	1667
883	12598	1653
884	12611	1638
885	12624	1624
886	12638	1610
887	12651	1595
888	12664	1581
889	12677	1566
890	12690	1552
891	12704	1538
892	12716	1523
893	12728	1509
894	12740	1494
895	12752	1480
896	12766	1465
897	12778	1451
898	12790	1436
899	12802	1422
900	12815	1408
901	12829	1393
902	12842	1379
903	12859	1365
904	12871	1351
905	12883	1336
906	12896	1322
907	12908	1307
908	12921	1293
909	12934	1279
910	12946	1264
911	12959	1250
912	12971	1236
913	12984	1221
914	12997	1207
915	13009	1193
916	13021	1178
917	13034	1164
918	13047	1149
919	13059	1135
920	13072	1121
921	13086	1107
922	13098	1092
923	13111	1078
924	13124	1064
925	13138	1049
926	13151	1035
927	13163	1021
928	13176	1007
929	13189	992
930	13201	978
931	13214	964
932	13226	949
933	13239	935
934	13252	921
935	13264	907
936	13278	892
937	13290	878
938	13303	864
939	13316	849
940	13328	835
941	13340	821
942	13352	807
943	13364	792
944	13376	778
945	13390	764
946	13403	750
947	13414	735
948	13427	721
949	13439	707
950	13451	693
951	13463	678
952	13477	664
953	13490	650
954	13502	636
955	13514	622
956	13527	607
957	13539	593
958	13552	579
959	13564	565
960	13577	551
961	13590	536
962	13602	522
963	13615	508
964	13628	494
965	13641	480
966	13653	465
967	13667	451
968	13680	437
969	13693	423
970	13707	409
971	13719	395
972	13732	381
973	13746	366
974	13759	352
975	13773	338
976	13786	324
977	13798	310
978	13811	296
979	13824	282
980	13835	267
981	13847	253
982	13859	239
983	13873	225
984	13885	211
985	13898	197
986	13910	183
987	13922	169
988	13935	154
989	13948	140
990	13961	126
991	13979	112
992	13993	98
993	14008	84
994	14022	70
995	14037	56
996	14052	42
997	14067	28
998	14080	14
999	14093	0
